开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
计算机系,240042,90,人工智能导论,2,李建民,60,0,0,0,3-6(全周),,2021.0,
计算机系,240311,90,计算机系统研讨,1,陈文光,30,4,0,0,1-6(前八周),外文教材，中文为主进行授课(双语课); 新生研讨课; 文化素质课; 通识选修课;,2024.0,科学课组
计算机系,240401,90,迈向通用的人工智能,1,刘知远,800,612,0,0,(全周),,,
外文系,641452,91,英语文学中的中国形象,2,孙赛茵,20,11,0,0,2-2(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
外文系,641452,92,英语文学中的中国形象,2,孙赛茵,20,1,0,0,2-4(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
外文系,641452,93,英语文学中的中国形象,2,孙赛茵,20,6,0,0,3-2(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
外文系,641452,94,英语文学中的中国形象,2,孙赛茵,20,4,0,0,3-4(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
人文学院,692342,0,科学博物馆学,2,刘年凯,30,3,0,0,3-4(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,20232024.0,人文课组
社科学院,700052,0,大学生心理健康,2,钱静,50,0,0,0,1-3(全周),文化素质核心课; 文化素质课; 通识选修课;,2024.0,
艺教中心,782152,90,西方音乐史,2,康啸,200,0,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,艺术课组
数学教学中心,10420252,1,复变函数引论,2,姚国武,160,78,0,0,3-1(全周),,2023.0,
数学教学中心,10420252,2,复变函数引论,2,姚国武,160,41,0,0,1-1(全周),,20232022.0,
物理系,10430484,1,大学物理B(1),4,季帅华,80,0,0,0,"3-1(全周),1-2(全周)",,2024.0,
物理系,10430484,10,大学物理B(1),4,李岩松,50,1,0,0,"3-2(全周),5-1(全周)",,2024.0,
物理系,10430484,11,大学物理B(1),4,余京智,80,0,0,0,"1-6(全周),3-6(全周)",,2024.0,
物理系,10430484,12,大学物理B(1),4,张金松,80,0,0,0,"3-3(全周),1-3(全周)",,2024.0,
物理系,10430484,13,大学物理B(1),4,王佳平,170,13,0,0,"3-2(全周),5-1(全周)",,2024.0,
物理系,10430484,14,大学物理B(1),4,冯硝,90,4,0,0,"3-1(全周),1-2(全周)",,2024.0,
物理系,10430484,2,大学物理B(1),4,何珂,80,53,0,0,"3-1(全周),1-2(全周)",,2024.0,
物理系,10430484,3,大学物理B(1),4,周树云,80,5,0,0,"3-1(全周),1-2(全周)",,2024.0,
物理系,10430484,4,大学物理B(1),4,张留碗,80,0,0,0,"3-1(全周),1-2(全周)",,2024.0,
物理系,10430484,5,大学物理B(1),4,张留碗,126,0,0,0,"3-2(全周),5-1(全周)",,2024.0,
物理系,10430484,6,大学物理B(1),4,魏洋,80,14,0,0,"1-1(全周),4-2(全周)",,2024.0,
物理系,10430484,7,大学物理B(1),4,杜春光,80,47,0,0,"1-1(全周),4-2(全周)",,2024.0,
物理系,10430484,8,大学物理B(1),4,张有宏,80,0,0,0,"1-1(全周),4-2(全周)",,2024.0,
体育部,10720211,1,一年级女生体育(2),1,王俊林,135,0,0,0,1-2(全周),,2024.0,
体育部,10720211,2,一年级女生体育(2),1,王俊林,135,0,0,0,1-3(全周),,2024.0,
体育部,10720211,3,一年级女生体育(2),1,王俊林,150,52,0,0,2-2(全周),,2024.0,
体育部,10720211,4,一年级女生体育(2),1,王俊林,130,0,0,0,2-3(全周),,2024.0,
体育部,10720211,5,一年级女生体育(2),1,王俊林,120,16,0,0,3-2(全周),,2024.0,
体育部,10720211,6,一年级女生体育(2),1,王俊林,120,17,0,0,3-3(全周),,2024.0,
体育部,10720211,7,一年级女生体育(2),1,王俊林,100,30,0,0,4-2(全周),,2024.0,
体育部,10720211,8,一年级女生体育(2),1,王俊林,150,6,0,0,5-2(全周),,2024.0,
体育部,10720211,9,一年级女生体育(2),1,王俊林,165,8,0,0,5-3(全周),,2024.0,
语言中心,14203062,90,美国社会与文化,2,JONES MATTH…,35,0,0,0,2-1(全周),文化素质课,,
计算机系,20740112,1,数据结构与算法,2,马昱春,90,32,0,0,1-1(全周),,2023.0,
计算机系,20740112,2,数据结构与算法,2,韩文弢,100,10,0,0,2-2(全周),,2024.0,
计算机系,20740124,0,数据结构与算法,4,邓俊辉,80,25,0,0,"4-6(全周),1-6(全周)",,,
计算机系,30240042,1,人工智能导论,2,王宏宁,155,0,0,0,1-4(全周),,20232022.0,
计算机系,30240042,2,人工智能导论,2,艾清遥,155,12,0,0,3-3(全周),,20232022.0,
计算机系,30240163,1,软件工程,3,裴丹,60,0,0,0,2-2(全周),外文教材，中文为主进行授课(双语课),2023.0,
计算机系,30240163,2,软件工程,3,李丹,120,0,0,0,2-2(全周),外文教材，中文为主进行授课(双语课),2023.0,
自动化系,40250182,0,人工智能导论,2,张长水,60,21,0,0,4-1(全周),,2024.0,
软件学院,44100102,0,人工智能导论,2,龙明盛,130,0,0,0,1-4(全周),外文教材，中文为主进行授课(双语课),20232022.0,
软件学院,44100563,0,形式语言与自动机,3,高跃,110,20,0,0,3-2(全周),,2023.0,
马克思主义学院,90680032,1,中国马克思主义与当代,2,刘敬东,0,0,200,0,"1-4(前八周),1-3(前八周)",,,
马克思主义学院,90680032,2,中国马克思主义与当代,2,孙洁民,0,0,200,0,"1-4(前八周),1-3(前八周)",,,
马克思主义学院,90680032,201,中国马克思主义与当代,2,王蒲生,0,0,90,3,1-4(全周),,,
马克思主义学院,90680032,202,中国马克思主义与当代,2,王蒲生,0,0,90,0,2-4(全周),,,
马克思主义学院,90680032,203,中国马克思主义与当代,2,王蒲生,0,0,90,0,3-4(全周),,,
马克思主义学院,90680032,204,中国马克思主义与当代,2,王蒲生,0,0,90,35,5-4(全周),,,
马克思主义学院,90680032,3,中国马克思主义与当代,2,刘恩至,0,0,280,0,"1-4(前八周),1-3(前八周)",,,
马克思主义学院,90680032,5,中国马克思主义与当代,2,陈艺文,0,0,204,0,"3-4(前八周),3-3(前八周)",,,
马克思主义学院,90680032,6,中国马克思主义与当代,2,陈晓仪,0,0,198,1,"3-4(前八周),3-3(前八周)",,,
